interupt_cycles proc_cycles interrupts.size() processes.size()
0 1 0 1
0 2 0 1
0 3 0 1
0 4 0 2
0 5 0 2
0 6 0 2
0 7 0 2
0 8 0 2
0 9 0 2
0 10 0 2
0 11 0 2
0 12 0 2
1 12 0 2
1 13 0 2
1 14 0 2
1 15 0 3
1 16 0 3
1 17 0 3
1 18 0 4
1 19 0 4
2 19 1 4
3 19 1 4
4 19 1 4
5 19 1 4
6 19 1 4
7 19 0 4
7 20 0 4
7 21 0 3
7 22 0 3
7 23 0 3
7 24 0 3
7 25 0 3
7 26 0 3
7 27 0 3
8 27 1 3
9 27 1 3
10 27 1 3
11 27 1 3
12 27 1 4
13 27 1 4
14 27 1 4
15 27 1 4
16 27 0 4
16 28 0 4
16 29 0 4
16 30 0 4
16 31 0 4
16 32 0 4
16 33 0 4
16 34 0 4
16 35 0 3
17 35 1 3
18 35 1 4
19 35 0 4
19 36 0 4
19 37 0 4
19 38 0 4
19 39 0 4
19 40 0 4
19 41 0 4
19 42 0 4
19 43 0 4
19 44 0 4
19 45 0 4
19 46 0 4
19 47 0 4
19 48 0 4
19 49 0 4
19 50 0 4
20 50 1 4
21 50 1 4
22 50 1 4
23 50 1 4
24 50 1 5
25 50 1 5
26 50 1 5
27 50 1 5
28 50 0 5
29 50 1 5
30 50 1 6
31 50 1 6
32 50 1 6
33 50 1 6
34 50 0 6
35 50 1 7
36 50 1 7
37 50 1 8
38 50 1 8
39 50 1 8
40 50 0 8
40 51 0 8
40 52 0 8
40 53 0 8
40 54 0 8
40 55 0 8
41 55 0 8
41 56 0 8
41 57 0 8
41 58 0 7
41 59 0 7
41 60 0 7
41 61 0 8
41 62 0 8
41 63 0 8
42 63 0 9
42 64 0 8
42 65 0 8
42 66 0 8
42 67 0 8
42 68 0 9
43 68 1 9
44 68 1 9
45 68 0 9
45 69 0 9
45 70 0 9
46 70 0 9
46 71 0 9
46 72 0 9
46 73 0 10
46 74 0 10
46 75 0 11
46 76 0 12
46 77 0 12
46 78 0 12
46 79 0 12
46 80 0 12
46 81 0 13
47 81 1 13
48 81 1 13
49 81 1 13
50 81 1 13
51 81 1 14
52 81 1 14
53 81 0 14
53 82 0 14
53 83 0 14
54 83 0 14
54 84 0 14
54 85 0 14
54 86 0 14
54 87 0 14
54 88 0 14
54 89 0 14
54 90 0 14
54 91 0 14
54 92 0 14
54 93 0 14
54 94 0 14
54 95 0 14
